Frequency (Hz)	Level (dB)
46.875000	-31.311274
93.750000	-27.122217
140.625000	-23.777510
187.500000	-20.480810
234.375000	-20.856009
281.250000	-23.687731
328.125000	-26.686857
375.000000	-25.260208
421.875000	-23.377905
468.750000	-24.381132
515.625000	-30.780495
562.500000	-37.888794
609.375000	-42.508606
656.250000	-47.585018
703.125000	-52.312420
750.000000	-54.513916
796.875000	-53.342121
843.750000	-49.170055
890.625000	-44.902649
937.500000	-44.049492
984.375000	-46.592438
1031.250000	-46.958794
1078.125000	-44.950809
1125.000000	-43.768230
1171.875000	-46.479362
1218.750000	-47.547325
1265.625000	-45.993126
1312.500000	-46.195816
1359.375000	-46.194374
1406.250000	-42.379478
1453.125000	-38.468334
1500.000000	-37.815620
1546.875000	-39.140961
1593.750000	-45.716541
1640.625000	-50.726582
1687.500000	-53.378220
1734.375000	-50.689514
1781.250000	-47.490078
1828.125000	-46.243168
1875.000000	-41.747189
1921.875000	-39.373852
1968.750000	-43.283569
2015.625000	-45.207958
2062.500000	-38.365128
2109.375000	-33.361923
2156.250000	-32.129780
2203.125000	-35.151199
2250.000000	-45.428642
2296.875000	-52.743893
2343.750000	-54.751194
2390.625000	-56.312248
2437.500000	-58.364498
2484.375000	-58.287483
2531.250000	-56.824890
2578.125000	-55.092712
2625.000000	-52.941502
2671.875000	-54.776268
2718.750000	-62.388046
2765.625000	-68.126404
2812.500000	-66.790756
2859.375000	-60.182774
2906.250000	-53.764496
2953.125000	-53.977184
3000.000000	-61.929024
3046.875000	-65.394615
3093.750000	-66.095322
3140.625000	-67.548622
3187.500000	-65.348373
3234.375000	-63.273388
3281.250000	-61.747978
3328.125000	-62.657936
3375.000000	-65.426208
3421.875000	-68.765465
3468.750000	-70.109436
3515.625000	-69.518890
3562.500000	-69.950729
3609.375000	-68.469788
3656.250000	-67.196838
3703.125000	-66.063820
3750.000000	-61.127781
3796.875000	-60.555706
3843.750000	-64.253288
3890.625000	-63.869946
3937.500000	-62.730293
3984.375000	-63.325790
4031.250000	-62.220333
4078.125000	-65.790298
4125.000000	-69.421165
4171.875000	-69.482994
4218.750000	-69.438980
4265.625000	-68.701080
4312.500000	-68.169670
4359.375000	-69.292351
4406.250000	-68.698944
4453.125000	-67.549820
4500.000000	-64.993721
4546.875000	-59.446667
4593.750000	-59.527542
4640.625000	-66.803299
4687.500000	-70.499863
4734.375000	-69.256874
4781.250000	-68.035156
4828.125000	-67.654083
4875.000000	-69.185120
4921.875000	-71.151115
4968.750000	-72.948097
5015.625000	-68.163879
5062.500000	-65.964157
5109.375000	-68.687767
5156.250000	-71.043495
5203.125000	-72.063438
5250.000000	-71.273499
5296.875000	-70.850952
5343.750000	-68.772552
5390.625000	-68.814072
5437.500000	-70.371597
5484.375000	-71.498337
5531.250000	-72.285698
5578.125000	-72.302368
5625.000000	-71.495209
5671.875000	-71.051506
5718.750000	-71.446548
5765.625000	-72.086166
5812.500000	-72.368851
5859.375000	-72.361473
5906.250000	-72.299706
5953.125000	-72.277725
6000.000000	-72.625542
6046.875000	-72.885056
6093.750000	-72.720497
6140.625000	-72.549301
6187.500000	-72.746452
6234.375000	-72.800446
6281.250000	-72.584648
6328.125000	-72.617363
6375.000000	-72.708702
6421.875000	-72.864769
6468.750000	-73.023224
6515.625000	-73.060600
6562.500000	-72.837868
6609.375000	-72.231133
6656.250000	-72.823997
6703.125000	-73.447731
6750.000000	-73.035706
6796.875000	-72.442307
6843.750000	-72.440727
6890.625000	-71.981270
6937.500000	-71.179436
6984.375000	-71.955353
7031.250000	-72.661354
7078.125000	-70.954674
7125.000000	-70.408249
7171.875000	-72.954033
7218.750000	-73.628235
7265.625000	-73.157677
7312.500000	-73.258980
7359.375000	-73.873566
7406.250000	-74.216698
7453.125000	-74.307686
7500.000000	-74.240074
7546.875000	-74.322838
7593.750000	-74.385666
7640.625000	-74.168625
7687.500000	-74.032257
7734.375000	-73.942535
7781.250000	-74.094337
7828.125000	-74.188835
7875.000000	-74.274971
7921.875000	-74.392014
7968.750000	-74.349335
8015.625000	-74.191689
8062.500000	-74.256149
8109.375000	-74.597031
