Frequency (Hz)	Level (dB)
46.875000	-38.263100
93.750000	-46.281361
140.625000	-33.658730
187.500000	-23.712843
234.375000	-20.382107
281.250000	-25.026314
328.125000	-28.905760
375.000000	-25.882202
421.875000	-25.745817
468.750000	-25.773640
515.625000	-30.703211
562.500000	-37.212311
609.375000	-43.721237
656.250000	-50.405411
703.125000	-52.833412
750.000000	-55.536797
796.875000	-62.790226
843.750000	-64.615730
890.625000	-59.085667
937.500000	-53.681919
984.375000	-53.943695
1031.250000	-59.010441
1078.125000	-57.457977
1125.000000	-57.094109
1171.875000	-52.549789
1218.750000	-51.876049
1265.625000	-52.937351
1312.500000	-53.109077
1359.375000	-53.005806
1406.250000	-51.358547
1453.125000	-48.614212
1500.000000	-47.369438
1546.875000	-50.626797
1593.750000	-53.598320
1640.625000	-58.484810
1687.500000	-63.285019
1734.375000	-65.816750
1781.250000	-67.204376
1828.125000	-58.466995
1875.000000	-44.151871
1921.875000	-39.414440
1968.750000	-43.060242
2015.625000	-53.271641
2062.500000	-55.823818
2109.375000	-49.676964
2156.250000	-49.012573
2203.125000	-52.027237
2250.000000	-58.737053
2296.875000	-68.062553
2343.750000	-67.242233
2390.625000	-63.435936
2437.500000	-65.491325
2484.375000	-72.878960
2531.250000	-78.071182
2578.125000	-79.083076
2625.000000	-75.963478
2671.875000	-75.325485
2718.750000	-78.105591
2765.625000	-80.553635
2812.500000	-81.493233
2859.375000	-80.357498
2906.250000	-82.237335
2953.125000	-85.146492
3000.000000	-83.486183
3046.875000	-83.782585
3093.750000	-85.977371
3140.625000	-86.681747
3187.500000	-87.428421
3234.375000	-86.602158
3281.250000	-85.985931
3328.125000	-86.041595
3375.000000	-85.051514
3421.875000	-86.346870
3468.750000	-86.686546
3515.625000	-86.095451
3562.500000	-87.625092
3609.375000	-85.061783
3656.250000	-84.932304
3703.125000	-83.312836
3750.000000	-78.747169
3796.875000	-79.345314
3843.750000	-77.732857
3890.625000	-77.030716
3937.500000	-78.613487
3984.375000	-81.744720
4031.250000	-85.606125
4078.125000	-85.247841
4125.000000	-80.608757
4171.875000	-78.768196
4218.750000	-83.729942
4265.625000	-88.556190
4312.500000	-87.327072
4359.375000	-87.669365
4406.250000	-81.226448
4453.125000	-79.354218
4500.000000	-81.305794
4546.875000	-80.216164
4593.750000	-81.427490
4640.625000	-87.176353
4687.500000	-85.867012
4734.375000	-86.385223
4781.250000	-88.554070
4828.125000	-86.698753
4875.000000	-87.219322
4921.875000	-88.386734
4968.750000	-86.206932
5015.625000	-86.957497
5062.500000	-85.859497
5109.375000	-81.978203
5156.250000	-82.448357
5203.125000	-86.800064
5250.000000	-87.767021
5296.875000	-88.113815
5343.750000	-89.278786
5390.625000	-87.601593
5437.500000	-85.888519
5484.375000	-88.016365
5531.250000	-88.764450
5578.125000	-86.960548
5625.000000	-87.807991
5671.875000	-89.601128
5718.750000	-89.907631
5765.625000	-89.857376
5812.500000	-89.971298
5859.375000	-89.744476
5906.250000	-89.882912
5953.125000	-89.727043
6000.000000	-89.389389
6046.875000	-89.598808
6093.750000	-89.584213
6140.625000	-89.814194
6187.500000	-89.821480
6234.375000	-89.737656
6281.250000	-89.726555
6328.125000	-89.839691
6375.000000	-90.005714
6421.875000	-89.907425
6468.750000	-89.680817
6515.625000	-89.734726
6562.500000	-88.782089
6609.375000	-86.083176
6656.250000	-84.214310
6703.125000	-84.674332
6750.000000	-85.073898
6796.875000	-84.273979
6843.750000	-85.626213
6890.625000	-85.773491
6937.500000	-86.283607
6984.375000	-88.656143
7031.250000	-89.225586
7078.125000	-88.002876
7125.000000	-86.848640
7171.875000	-87.930962
7218.750000	-88.140327
7265.625000	-88.205162
7312.500000	-87.037933
7359.375000	-87.321999
7406.250000	-89.037712
7453.125000	-87.830894
7500.000000	-88.877022
7546.875000	-89.650467
7593.750000	-89.335106
7640.625000	-89.523994
7687.500000	-89.831497
7734.375000	-88.699417
7781.250000	-88.801125
7828.125000	-89.811020
7875.000000	-89.641983
7921.875000	-89.777420
7968.750000	-90.191101
8015.625000	-89.973885
8062.500000	-89.700714
8109.375000	-89.749275
8156.250000	-89.999367
8203.125000	-90.176430
8250.000000	-90.084747
8296.875000	-90.031319
8343.750000	-89.868347
8390.625000	-89.451111
8437.500000	-89.495804
8484.375000	-89.572731
8531.250000	-89.399689
8578.125000	-89.347565
8625.000000	-89.673454
8671.875000	-89.847481
8718.750000	-89.836075
8765.625000	-89.744804
8812.500000	-90.093376
8859.375000	-90.017006
8906.250000	-89.719086
8953.125000	-89.815880
9000.000000	-89.526634
9046.875000	-88.908134
9093.750000	-88.987900
9140.625000	-89.197968
9187.500000	-89.612396
9234.375000	-89.757782
9281.250000	-89.775909
9328.125000	-89.756241
9375.000000	-89.729431
9421.875000	-90.011772
9468.750000	-90.011009
9515.625000	-90.184135
9562.500000	-90.036987
9609.375000	-90.019882
9656.250000	-90.173950
9703.125000	-90.089584
9750.000000	-90.143883
9796.875000	-90.398346
9843.750000	-90.238495
9890.625000	-90.022514
9937.500000	-89.926498
9984.375000	-89.992844
10031.250000	-90.222580
10078.125000	-90.229141
10125.000000	-90.010971
10171.875000	-90.087791
10218.750000	-90.233734
10265.625000	-90.231903
10312.500000	-89.977310
10359.375000	-89.839722
10406.250000	-90.192276
10453.125000	-90.082169
10500.000000	-90.066498
10546.875000	-90.172379
10593.750000	-90.218292
10640.625000	-89.932755
10687.500000	-89.982079
10734.375000	-90.008568
10781.250000	-90.109856
10828.125000	-90.252350
10875.000000	-90.276123
