Frequency (Hz)	Level (dB)
46.875000	-30.510542
93.750000	-35.806118
140.625000	-18.202541
187.500000	-13.615004
234.375000	-16.470768
281.250000	-21.574142
328.125000	-22.057165
375.000000	-24.498524
421.875000	-28.536316
468.750000	-23.158398
515.625000	-22.925566
562.500000	-32.236858
609.375000	-42.847511
656.250000	-45.893738
703.125000	-47.948864
750.000000	-50.803925
796.875000	-57.183712
843.750000	-55.635490
890.625000	-57.154003
937.500000	-59.436134
984.375000	-56.688099
1031.250000	-57.007225
1078.125000	-58.090614
1125.000000	-58.464249
1171.875000	-55.282459
1218.750000	-48.736038
1265.625000	-42.029716
1312.500000	-38.977100
1359.375000	-39.816273
1406.250000	-42.336884
1453.125000	-44.918793
1500.000000	-46.212063
1546.875000	-49.069901
1593.750000	-50.565201
1640.625000	-50.682323
1687.500000	-49.917805
1734.375000	-48.433044
1781.250000	-50.897884
1828.125000	-48.958302
1875.000000	-39.247044
1921.875000	-37.852989
1968.750000	-46.535606
2015.625000	-60.809025
2062.500000	-55.209454
2109.375000	-39.636318
2156.250000	-31.602245
2203.125000	-32.414856
2250.000000	-42.550625
2296.875000	-54.938679
2343.750000	-53.464935
2390.625000	-54.486931
2437.500000	-54.202831
2484.375000	-60.425739
2531.250000	-67.808334
2578.125000	-65.001701
2625.000000	-60.920074
2671.875000	-60.726208
2718.750000	-63.811348
2765.625000	-68.293716
2812.500000	-69.433350
2859.375000	-69.927444
2906.250000	-71.940369
2953.125000	-71.901131
3000.000000	-72.241402
3046.875000	-73.520798
3093.750000	-74.108604
3140.625000	-73.952545
3187.500000	-73.698143
3234.375000	-73.117249
3281.250000	-72.148155
3328.125000	-71.306366
3375.000000	-72.248199
3421.875000	-73.148972
3468.750000	-74.074532
3515.625000	-74.732819
3562.500000	-75.139603
3609.375000	-74.692207
3656.250000	-73.545349
3703.125000	-70.932487
3750.000000	-67.900101
3796.875000	-67.555428
3843.750000	-65.034058
3890.625000	-64.094536
3937.500000	-63.987823
3984.375000	-67.225716
4031.250000	-73.537674
4078.125000	-74.561043
4125.000000	-74.454865
4171.875000	-74.953781
4218.750000	-75.440498
4265.625000	-76.642845
4312.500000	-76.844559
4359.375000	-76.983452
4406.250000	-76.923508
4453.125000	-74.379005
4500.000000	-69.798164
4546.875000	-69.079651
4593.750000	-71.103325
4640.625000	-75.139114
4687.500000	-76.641525
4734.375000	-77.284737
4781.250000	-77.267967
4828.125000	-76.316963
4875.000000	-76.026451
4921.875000	-76.620735
4968.750000	-77.148468
5015.625000	-77.749435
5062.500000	-77.831779
5109.375000	-77.698196
5156.250000	-77.276207
5203.125000	-77.742950
5250.000000	-77.283463
5296.875000	-76.758705
5343.750000	-77.587959
5390.625000	-78.310158
5437.500000	-78.104797
5484.375000	-77.833565
5531.250000	-77.102348
5578.125000	-77.668442
5625.000000	-78.235313
5671.875000	-77.917290
5718.750000	-77.934647
5765.625000	-78.450096
5812.500000	-78.915253
5859.375000	-78.840515
5906.250000	-78.627289
5953.125000	-78.835304
6000.000000	-79.115051
6046.875000	-79.049080
6093.750000	-78.760803
6140.625000	-78.383614
6187.500000	-78.401802
6234.375000	-78.663834
6281.250000	-78.903725
6328.125000	-78.939178
6375.000000	-78.708755
6421.875000	-78.588249
6468.750000	-78.576294
6515.625000	-78.808197
6562.500000	-79.085075
6609.375000	-79.063370
6656.250000	-78.269516
6703.125000	-77.536667
6750.000000	-77.685738
6796.875000	-79.215157
6843.750000	-78.388885
6890.625000	-77.113731
6937.500000	-75.899895
6984.375000	-75.741287
7031.250000	-78.150505
7078.125000	-79.117264
7125.000000	-78.978539
7171.875000	-79.191048
7218.750000	-79.510986
7265.625000	-79.331100
7312.500000	-79.103424
7359.375000	-79.040207
7406.250000	-79.280548
7453.125000	-79.329231
7500.000000	-79.090492
7546.875000	-78.827774
7593.750000	-78.534317
7640.625000	-78.515312
7687.500000	-78.809814
7734.375000	-79.044388
7781.250000	-78.987717
7828.125000	-79.224327
7875.000000	-79.287560
7921.875000	-79.051590
7968.750000	-78.984886
8015.625000	-78.715950
8062.500000	-78.712318
8109.375000	-79.154434
8156.250000	-79.613678
8203.125000	-79.544380
8250.000000	-79.437119
8296.875000	-79.526154
8343.750000	-79.790398
8390.625000	-79.766373
8437.500000	-79.572998
8484.375000	-79.564606
8531.250000	-79.288971
8578.125000	-79.197777
8625.000000	-79.526894
8671.875000	-79.472824
8718.750000	-79.620789
8765.625000	-79.693619
8812.500000	-79.549576
8859.375000	-79.691605
8906.250000	-79.489983
8953.125000	-79.439346
9000.000000	-79.653107
9046.875000	-79.584686
9093.750000	-79.483459
9140.625000	-79.288078
9187.500000	-79.322090
9234.375000	-79.581352
9281.250000	-79.855278
9328.125000	-79.753120
9375.000000	-79.798309
9421.875000	-79.633545
9468.750000	-79.750786
9515.625000	-79.815590
9562.500000	-79.994606
9609.375000	-79.929924
9656.250000	-79.856476
9703.125000	-79.810326
9750.000000	-79.816856
9796.875000	-79.847298
9843.750000	-79.723763
9890.625000	-79.744385
9937.500000	-79.519829
9984.375000	-79.760521
10031.250000	-80.050201
10078.125000	-79.892326
10125.000000	-79.670326
10171.875000	-79.486763
10218.750000	-79.459427
10265.625000	-79.507523
10312.500000	-79.802559
10359.375000	-80.117706
10406.250000	-80.056450
10453.125000	-79.999458
10500.000000	-79.936386
10546.875000	-80.004860
10593.750000	-80.092995
10640.625000	-79.895050
10687.500000	-80.001747
10734.375000	-79.833069
10781.250000	-79.705315
10828.125000	-79.758400
10875.000000	-79.931236
10921.875000	-79.994514
10968.750000	-80.231117
