Frequency (Hz)	Level (dB)
46.875000	-41.409100
93.750000	-54.625668
140.625000	-57.480145
187.500000	-52.896835
234.375000	-46.190723
281.250000	-46.450077
328.125000	-36.592945
375.000000	-33.443165
421.875000	-42.378948
468.750000	-57.117466
515.625000	-54.913666
562.500000	-59.053654
609.375000	-66.140404
656.250000	-67.606850
703.125000	-78.645050
750.000000	-85.067131
796.875000	-86.332504
843.750000	-84.733429
890.625000	-77.254295
937.500000	-58.355999
984.375000	-47.633194
1031.250000	-49.579647
1078.125000	-67.490654
1125.000000	-80.780266
1171.875000	-82.945518
1218.750000	-80.983170
1265.625000	-81.844757
1312.500000	-82.992271
1359.375000	-85.175285
1406.250000	-87.053246
1453.125000	-88.586075
1500.000000	-88.216972
1546.875000	-87.561554
1593.750000	-86.901039
1640.625000	-86.096924
1687.500000	-88.209122
1734.375000	-88.607437
1781.250000	-87.942886
1828.125000	-86.546150
1875.000000	-77.799942
1921.875000	-70.800026
1968.750000	-66.092529
2015.625000	-65.002022
2062.500000	-75.213455
2109.375000	-76.713127
2156.250000	-75.252747
2203.125000	-79.710533
2250.000000	-88.022926
2296.875000	-89.268929
2343.750000	-88.403572
2390.625000	-88.071136
2437.500000	-88.571877
2484.375000	-89.478432
2531.250000	-90.034630
2578.125000	-90.062744
2625.000000	-89.572189
2671.875000	-89.721794
2718.750000	-89.834389
2765.625000	-89.945702
2812.500000	-90.058945
2859.375000	-89.972084
2906.250000	-89.988884
2953.125000	-71.506447
3000.000000	-65.548409
3046.875000	-71.494682
3093.750000	-90.257248
3140.625000	-90.319092
3187.500000	-90.041336
3234.375000	-90.085587
3281.250000	-90.110901
3328.125000	-90.135963
3375.000000	-90.107224
3421.875000	-90.201370
3468.750000	-90.259872
3515.625000	-90.209831
3562.500000	-90.204361
3609.375000	-90.163147
3656.250000	-90.252831
3703.125000	-90.223175
3750.000000	-90.105042
3796.875000	-89.726479
3843.750000	-89.352898
3890.625000	-89.233734
3937.500000	-80.430862
3984.375000	-70.297050
4031.250000	-72.217636
4078.125000	-87.104019
4125.000000	-89.875381
4171.875000	-89.997673
4218.750000	-90.200836
4265.625000	-90.256607
4312.500000	-90.179817
4359.375000	-90.139580
4406.250000	-90.117966
4453.125000	-89.861046
4500.000000	-88.993698
4546.875000	-89.064369
4593.750000	-89.485176
4640.625000	-89.848686
4687.500000	-90.060600
4734.375000	-90.097244
4781.250000	-90.105087
4828.125000	-90.242157
4875.000000	-90.260933
4921.875000	-89.938232
4968.750000	-82.975578
5015.625000	-81.339348
5062.500000	-88.086082
5109.375000	-90.326408
5156.250000	-90.311371
5203.125000	-90.301430
5250.000000	-90.313049
5296.875000	-90.106445
5343.750000	-89.923714
5390.625000	-90.198540
5437.500000	-90.334488
5484.375000	-90.238052
5531.250000	-90.251572
5578.125000	-90.385353
5625.000000	-90.279739
5671.875000	-90.035156
5718.750000	-90.180840
5765.625000	-90.592468
5812.500000	-90.437637
5859.375000	-90.204346
5906.250000	-90.270760
5953.125000	-84.914986
6000.000000	-79.978310
6046.875000	-84.877190
6093.750000	-90.422821
6140.625000	-90.490623
6187.500000	-90.201813
6234.375000	-90.192154
6281.250000	-90.079872
6328.125000	-90.236481
6375.000000	-90.225266
6421.875000	-90.197029
6468.750000	-89.904198
6515.625000	-90.238533
6562.500000	-90.408829
6609.375000	-90.163567
6656.250000	-90.189857
6703.125000	-90.289146
6750.000000	-90.215363
6796.875000	-90.263741
6843.750000	-90.071510
6890.625000	-90.375641
6937.500000	-89.888062
6984.375000	-87.839745
7031.250000	-88.614479
7078.125000	-90.033455
7125.000000	-90.129478
7171.875000	-90.196091
7218.750000	-90.224030
7265.625000	-90.407410
7312.500000	-90.335594
7359.375000	-90.131493
7406.250000	-90.199554
7453.125000	-90.253609
7500.000000	-90.185776
7546.875000	-90.272324
7593.750000	-90.183212
7640.625000	-90.128403
7687.500000	-90.306984
7734.375000	-90.263237
7781.250000	-90.364647
7828.125000	-90.426834
7875.000000	-90.427567
7921.875000	-90.451157
7968.750000	-86.904930
8015.625000	-85.730629
8062.500000	-89.692680
8109.375000	-90.292900
8156.250000	-90.274284
8203.125000	-90.483635
8250.000000	-90.221268
8296.875000	-90.327042
8343.750000	-90.434357
8390.625000	-90.116127
8437.500000	-90.229553
8484.375000	-90.341843
8531.250000	-90.111725
8578.125000	-90.066154
8625.000000	-90.292900
8671.875000	-90.215111
8718.750000	-90.275612
8765.625000	-90.217552
8812.500000	-90.230980
8859.375000	-90.311951
8906.250000	-90.447136
8953.125000	-90.081856
9000.000000	-89.149139
9046.875000	-89.899460
9093.750000	-90.422867
9140.625000	-90.484489
9187.500000	-90.408798
9234.375000	-90.467468
9281.250000	-90.285873
9328.125000	-90.108650
9375.000000	-90.031158
9421.875000	-90.052284
9468.750000	-90.209480
9515.625000	-90.455254
9562.500000	-90.407158
9609.375000	-90.136436
9656.250000	-90.087013
9703.125000	-90.324242
9750.000000	-90.439423
9796.875000	-90.329460
9843.750000	-90.152969
9890.625000	-90.396103
9937.500000	-90.296814
9984.375000	-88.707283
10031.250000	-89.293877
10078.125000	-90.240768
10125.000000	-90.294296
10171.875000	-90.534821
10218.750000	-90.322136
10265.625000	-90.101730
10312.500000	-90.203461
10359.375000	-90.275543
10406.250000	-90.384712
