Frequency (Hz)	Level (dB)
46.875000	-27.930807
93.750000	-24.143904
140.625000	-28.451906
187.500000	-32.254505
234.375000	-27.607925
281.250000	-25.728552
328.125000	-23.679504
375.000000	-28.459328
421.875000	-33.067459
468.750000	-31.262375
515.625000	-33.143311
562.500000	-37.354290
609.375000	-41.285984
656.250000	-46.357437
703.125000	-50.585747
750.000000	-60.585251
796.875000	-63.656334
843.750000	-60.777428
890.625000	-61.433655
937.500000	-56.843937
984.375000	-51.773792
1031.250000	-55.317406
1078.125000	-63.619881
1125.000000	-66.726189
1171.875000	-59.419563
1218.750000	-53.644821
1265.625000	-54.405499
1312.500000	-53.115704
1359.375000	-53.467117
1406.250000	-55.077625
1453.125000	-56.687958
1500.000000	-56.843384
1546.875000	-54.906425
1593.750000	-56.512917
1640.625000	-60.552608
1687.500000	-62.152515
1734.375000	-64.979576
1781.250000	-62.804375
1828.125000	-59.530735
1875.000000	-47.557133
1921.875000	-43.857285
1968.750000	-49.755066
2015.625000	-61.615704
2062.500000	-61.621891
2109.375000	-51.144215
2156.250000	-49.398777
2203.125000	-55.565647
2250.000000	-58.178555
2296.875000	-56.327984
2343.750000	-57.273155
2390.625000	-63.480213
2437.500000	-70.474800
2484.375000	-75.303085
2531.250000	-72.586807
2578.125000	-74.189163
2625.000000	-72.377617
2671.875000	-71.832504
2718.750000	-76.029457
2765.625000	-79.875305
2812.500000	-80.395164
2859.375000	-80.373077
2906.250000	-81.333366
2953.125000	-78.791107
3000.000000	-83.048088
3046.875000	-86.564613
3093.750000	-87.336021
3140.625000	-87.981194
3187.500000	-87.134987
3234.375000	-85.080544
3281.250000	-82.257988
3328.125000	-76.749313
3375.000000	-72.856697
3421.875000	-77.856056
3468.750000	-86.127548
3515.625000	-87.867531
3562.500000	-87.050598
3609.375000	-86.383247
3656.250000	-86.337067
3703.125000	-86.054237
3750.000000	-84.479866
3796.875000	-83.597633
3843.750000	-83.177650
3890.625000	-83.480850
3937.500000	-83.572128
3984.375000	-84.688629
4031.250000	-87.688263
4078.125000	-87.970428
4125.000000	-87.675262
4171.875000	-88.192780
4218.750000	-87.368668
4265.625000	-86.456444
4312.500000	-88.192093
4359.375000	-88.648308
4406.250000	-88.057503
4453.125000	-86.819000
4500.000000	-85.740852
4546.875000	-87.175438
4593.750000	-87.571869
4640.625000	-88.041328
4687.500000	-88.686935
4734.375000	-89.089752
4781.250000	-89.452858
4828.125000	-89.448730
4875.000000	-89.408363
4921.875000	-89.539757
4968.750000	-89.677948
5015.625000	-89.738525
5062.500000	-89.699562
5109.375000	-88.796776
5156.250000	-87.732933
5203.125000	-88.840378
