Frequency (Hz)	Level (dB)
46.875000	-31.577328
93.750000	-28.686014
140.625000	-28.830761
187.500000	-29.259010
234.375000	-22.640471
281.250000	-20.101255
328.125000	-19.585941
375.000000	-21.034445
421.875000	-25.805637
468.750000	-28.031458
515.625000	-32.136097
562.500000	-32.429577
609.375000	-37.560936
656.250000	-49.640343
703.125000	-52.828297
750.000000	-54.386288
796.875000	-55.174202
843.750000	-54.852287
890.625000	-53.908501
937.500000	-54.229073
984.375000	-54.393047
1031.250000	-54.624115
1078.125000	-55.510696
1125.000000	-56.117554
1171.875000	-53.114651
1218.750000	-49.828232
1265.625000	-51.025070
1312.500000	-53.517078
1359.375000	-54.668831
1406.250000	-54.956249
1453.125000	-50.509304
1500.000000	-46.752750
1546.875000	-48.140583
1593.750000	-52.773914
1640.625000	-57.569477
1687.500000	-57.437256
1734.375000	-52.834454
1781.250000	-48.589748
1828.125000	-47.910603
1875.000000	-46.139721
1921.875000	-45.392048
1968.750000	-52.108906
2015.625000	-49.374111
2062.500000	-42.340557
2109.375000	-39.684387
2156.250000	-36.354111
2203.125000	-35.799553
2250.000000	-41.592770
2296.875000	-52.059948
2343.750000	-58.285309
2390.625000	-60.980507
2437.500000	-59.072536
2484.375000	-56.971836
2531.250000	-54.351177
2578.125000	-51.663971
2625.000000	-50.173397
2671.875000	-52.439781
2718.750000	-60.229771
2765.625000	-65.526207
2812.500000	-65.267197
2859.375000	-60.991558
2906.250000	-55.234455
2953.125000	-56.387123
3000.000000	-61.741711
3046.875000	-61.565113
3093.750000	-62.341686
3140.625000	-63.593315
3187.500000	-62.652233
3234.375000	-60.954407
3281.250000	-59.644485
3328.125000	-60.582283
3375.000000	-63.726761
3421.875000	-65.628845
3468.750000	-65.446480
3515.625000	-65.353737
3562.500000	-65.796616
3609.375000	-64.931046
3656.250000	-63.547668
3703.125000	-64.743195
3750.000000	-62.422985
3796.875000	-60.119415
3843.750000	-62.008831
3890.625000	-63.128510
3937.500000	-61.873390
3984.375000	-62.044762
4031.250000	-61.832687
4078.125000	-62.789375
4125.000000	-64.307869
4171.875000	-66.685478
4218.750000	-66.293678
4265.625000	-65.681541
4312.500000	-65.757263
4359.375000	-64.643936
4406.250000	-61.233006
4453.125000	-62.115143
4500.000000	-59.639896
4546.875000	-57.523834
4593.750000	-62.131012
4640.625000	-67.543037
4687.500000	-66.453354
4734.375000	-65.288933
4781.250000	-64.098824
4828.125000	-64.089188
4875.000000	-65.326851
4921.875000	-64.002617
4968.750000	-61.924351
5015.625000	-63.342049
5062.500000	-65.567017
5109.375000	-66.724464
5156.250000	-67.051613
5203.125000	-67.419334
5250.000000	-66.255989
5296.875000	-66.394096
5343.750000	-65.903412
5390.625000	-65.201805
5437.500000	-66.331070
5484.375000	-67.121872
5531.250000	-67.628517
5578.125000	-67.683189
5625.000000	-67.259666
5671.875000	-66.782249
5718.750000	-66.839363
5765.625000	-67.194016
5812.500000	-67.719589
5859.375000	-67.483704
5906.250000	-67.406097
5953.125000	-67.314331
6000.000000	-67.925278
6046.875000	-67.755127
6093.750000	-67.728622
6140.625000	-67.739998
6187.500000	-67.566772
6234.375000	-67.714569
6281.250000	-67.828690
6328.125000	-67.643356
6375.000000	-67.660835
6421.875000	-67.981949
6468.750000	-67.966599
6515.625000	-68.081238
6562.500000	-68.013107
6609.375000	-67.975426
6656.250000	-68.186813
6703.125000	-68.321716
6750.000000	-68.543236
6796.875000	-68.379959
6843.750000	-67.868866
6890.625000	-67.571983
6937.500000	-67.477676
6984.375000	-67.787247
7031.250000	-68.157814
7078.125000	-68.294846
7125.000000	-68.689880
7171.875000	-69.230667
7218.750000	-68.708038
7265.625000	-68.319054
7312.500000	-68.309677
7359.375000	-68.539192
7406.250000	-68.714203
7453.125000	-68.794403
7500.000000	-68.602112
7546.875000	-68.432945
7593.750000	-68.255440
7640.625000	-68.439545
7687.500000	-68.557510
7734.375000	-68.478271
7781.250000	-68.835251
7828.125000	-68.894127
7875.000000	-68.730591
7921.875000	-68.857803
7968.750000	-68.850098
8015.625000	-68.749947
8062.500000	-68.852104
8109.375000	-69.039871
8156.250000	-69.094200
8203.125000	-69.089035
8250.000000	-69.033333
8296.875000	-69.029045
8343.750000	-69.159676
8390.625000	-69.223343
8437.500000	-69.206039
8484.375000	-68.919174
8531.250000	-68.895935
8578.125000	-69.100555
8625.000000	-69.186371
8671.875000	-69.169403
8718.750000	-69.021729
8765.625000	-69.141212
8812.500000	-68.986359
8859.375000	-69.226349
8906.250000	-69.324364
8953.125000	-69.219963
9000.000000	-69.201447
9046.875000	-69.216805
9093.750000	-69.272438
9140.625000	-69.400337
9187.500000	-69.391487
9234.375000	-69.566574
9281.250000	-69.806877
9328.125000	-69.793350
9375.000000	-69.692131
9421.875000	-69.855484
9468.750000	-69.872169
