Frequency (Hz)	Level (dB)
46.875000	-69.803947
93.750000	-74.576958
140.625000	-75.615463
187.500000	-77.064148
234.375000	-77.214912
281.250000	-77.832085
328.125000	-78.355469
375.000000	-78.148972
421.875000	-80.069916
468.750000	-80.398544
515.625000	-80.669830
562.500000	-82.502655
609.375000	-82.230980
656.250000	-82.873817
703.125000	-84.287704
750.000000	-84.938271
796.875000	-86.134338
843.750000	-86.962120
890.625000	-86.896751
937.500000	-73.481903
984.375000	-62.761574
1031.250000	-64.689522
1078.125000	-81.659630
1125.000000	-87.669487
1171.875000	-88.097908
1218.750000	-87.568153
1265.625000	-87.132561
1312.500000	-87.247490
1359.375000	-86.905510
1406.250000	-87.314606
1453.125000	-87.508766
1500.000000	-87.052177
1546.875000	-87.647949
1593.750000	-87.663078
1640.625000	-87.574104
1687.500000	-88.105301
1734.375000	-88.186127
1781.250000	-88.737671
1828.125000	-88.942932
1875.000000	-88.951317
1921.875000	-89.020271
1968.750000	-78.862610
2015.625000	-77.016251
2062.500000	-85.810295
2109.375000	-89.198196
2156.250000	-89.250916
2203.125000	-89.313171
2250.000000	-88.861366
2296.875000	-88.820641
2343.750000	-88.448486
2390.625000	-88.559837
2437.500000	-89.012192
2484.375000	-88.750282
2531.250000	-88.826225
2578.125000	-88.955124
2625.000000	-88.761711
2671.875000	-88.845428
2718.750000	-89.053352
2765.625000	-89.253693
2812.500000	-89.432968
2859.375000	-89.471924
2906.250000	-89.646637
2953.125000	-86.057373
3000.000000	-81.737701
3046.875000	-86.160629
3093.750000	-89.756920
3140.625000	-89.492241
3187.500000	-89.439354
3234.375000	-89.333969
3281.250000	-89.192009
3328.125000	-89.210655
3375.000000	-89.319695
3421.875000	-89.302704
3468.750000	-89.144249
3515.625000	-88.869835
3562.500000	-89.024567
3609.375000	-89.219414
3656.250000	-89.439980
3703.125000	-89.488091
3750.000000	-89.458565
3796.875000	-89.678833
3843.750000	-89.679070
3890.625000	-89.755173
3937.500000	-89.002235
3984.375000	-85.366814
4031.250000	-86.449127
4078.125000	-89.587875
4125.000000	-89.572708
4171.875000	-89.538536
4218.750000	-89.595825
4265.625000	-89.367638
4312.500000	-89.503876
4359.375000	-89.444382
4406.250000	-89.361847
4453.125000	-89.290108
4500.000000	-89.309387
4546.875000	-89.162926
4593.750000	-89.227173
4640.625000	-89.358116
4687.500000	-89.574730
4734.375000	-89.912300
4781.250000	-89.840401
4828.125000	-89.690369
4875.000000	-89.802704
4921.875000	-89.898964
4968.750000	-89.649429
5015.625000	-89.478775
5062.500000	-89.626411
5109.375000	-89.701233
5156.250000	-89.786438
5203.125000	-89.745529
5250.000000	-89.688576
5296.875000	-89.797562
5343.750000	-89.785591
5390.625000	-89.581741
5437.500000	-89.384041
5484.375000	-89.474304
5531.250000	-89.731995
5578.125000	-89.588081
5625.000000	-89.637558
5671.875000	-89.734627
5718.750000	-89.697243
5765.625000	-89.525116
5812.500000	-89.932465
5859.375000	-89.951775
5906.250000	-89.717537
5953.125000	-89.523880
6000.000000	-88.745216
6046.875000	-89.376816
6093.750000	-89.698097
6140.625000	-89.876663
6187.500000	-89.805595
6234.375000	-89.561516
6281.250000	-89.568970
6328.125000	-89.532341
6375.000000	-89.562141
6421.875000	-89.597206
6468.750000	-89.585632
6515.625000	-89.589165
6562.500000	-89.631332
6609.375000	-89.634178
6656.250000	-89.613655
6703.125000	-89.726830
6750.000000	-89.700111
6796.875000	-89.790977
6843.750000	-89.728233
6890.625000	-89.580368
6937.500000	-89.587708
6984.375000	-89.543709
7031.250000	-89.543747
7078.125000	-89.756332
7125.000000	-89.703163
7171.875000	-89.720726
7218.750000	-89.841797
7265.625000	-89.632256
7312.500000	-89.579193
7359.375000	-89.630508
7406.250000	-89.683350
7453.125000	-89.734467
7500.000000	-89.805626
7546.875000	-89.627182
7593.750000	-89.436378
7640.625000	-89.560875
7687.500000	-89.543732
7734.375000	-89.656532
7781.250000	-89.598862
7828.125000	-89.678543
7875.000000	-89.605080
7921.875000	-89.766212
7968.750000	-89.612770
8015.625000	-89.331619
8062.500000	-89.781525
8109.375000	-89.855423
8156.250000	-89.661530
8203.125000	-89.492584
8250.000000	-89.634743
8296.875000	-89.756516
8343.750000	-89.812515
8390.625000	-89.804153
8437.500000	-89.464195
8484.375000	-89.642624
8531.250000	-89.512390
8578.125000	-89.400543
8625.000000	-89.352188
8671.875000	-89.675850
8718.750000	-89.589737
8765.625000	-89.749489
8812.500000	-90.012650
8859.375000	-89.941452
8906.250000	-89.697098
8953.125000	-89.704582
9000.000000	-89.604767
9046.875000	-89.646683
9093.750000	-89.865036
9140.625000	-89.698647
9187.500000	-89.920769
9234.375000	-90.037987
9281.250000	-89.723549
9328.125000	-89.704727
9375.000000	-89.736855
9421.875000	-89.611015
9468.750000	-89.672401
9515.625000	-89.605049
9562.500000	-89.617645
9609.375000	-89.865974
9656.250000	-89.694084
9703.125000	-89.736069
9750.000000	-89.812859
9796.875000	-89.902946
9843.750000	-89.817047
9890.625000	-89.841911
9937.500000	-89.690338
9984.375000	-89.754997
10031.250000	-89.646126
10078.125000	-89.604073
10125.000000	-89.868050
10171.875000	-89.859932
10218.750000	-89.705719
10265.625000	-89.871262
10312.500000	-89.736786
10359.375000	-89.767281
10406.250000	-89.967804
10453.125000	-90.012657
10500.000000	-89.894043
10546.875000	-89.787933
10593.750000	-89.967819
10640.625000	-89.798332
10687.500000	-89.623871
10734.375000	-89.581924
10781.250000	-89.621147
10828.125000	-89.757683
10875.000000	-89.990440
10921.875000	-89.915703
10968.750000	-89.680359
11015.625000	-89.895470
11062.500000	-89.912933
11109.375000	-89.687218
11156.250000	-89.690979
11203.125000	-89.685829
11250.000000	-89.895241
11296.875000	-89.806618
11343.750000	-89.552269
11390.625000	-89.740547
11437.500000	-89.809586
11484.375000	-89.820412
11531.250000	-89.896713
11578.125000	-90.047615
11625.000000	-89.795853
11671.875000	-89.517616
11718.750000	-89.550354
11765.625000	-89.838913
11812.500000	-89.477554
11859.375000	-89.680283
11906.250000	-89.724693
11953.125000	-89.598434
12000.000000	-89.567421
12046.875000	-89.719170
12093.750000	-89.845665
12140.625000	-89.712250
12187.500000	-89.703186
12234.375000	-89.471497
12281.250000	-89.417694
12328.125000	-89.987495
12375.000000	-89.799690
12421.875000	-89.593636
12468.750000	-89.552895
12515.625000	-89.773293
12562.500000	-89.620804
12609.375000	-89.571716
12656.250000	-89.803444
12703.125000	-89.680702
12750.000000	-89.785919
12796.875000	-89.951797
12843.750000	-89.878998
12890.625000	-89.836807
12937.500000	-89.963875
12984.375000	-89.810898
13031.250000	-89.694031
13078.125000	-89.904411
13125.000000	-89.968254
13171.875000	-89.772972
13218.750000	-89.485939
13265.625000	-89.558060
13312.500000	-89.922585
13359.375000	-89.752472
13406.250000	-89.571770
13453.125000	-89.533760
13500.000000	-89.723129
13546.875000	-89.819397
13593.750000	-89.681404
13640.625000	-89.727661
13687.500000	-89.896675
13734.375000	-89.844429
13781.250000	-89.620720
13828.125000	-89.754601
13875.000000	-89.656891
13921.875000	-89.647827
13968.750000	-89.715919
14015.625000	-89.839745
14062.500000	-89.672760
14109.375000	-89.658302
14156.250000	-89.815079
14203.125000	-89.990135
14250.000000	-90.096848
14296.875000	-89.808784
14343.750000	-89.757050
14390.625000	-89.617035
14437.500000	-89.658836
14484.375000	-89.861702
14531.250000	-89.796867
14578.125000	-89.676559
