Frequency (Hz)	Level (dB)
46.875000	-40.371597
93.750000	-34.616848
140.625000	-33.918022
187.500000	-41.099873
234.375000	-36.840023
281.250000	-33.734928
328.125000	-33.670311
375.000000	-34.119652
421.875000	-37.581123
468.750000	-35.448528
515.625000	-41.601665
562.500000	-52.176125
609.375000	-53.788055
656.250000	-61.002312
703.125000	-62.704632
750.000000	-63.907967
796.875000	-62.918961
843.750000	-60.503349
890.625000	-63.889786
937.500000	-65.347473
984.375000	-65.839424
1031.250000	-66.133949
1078.125000	-63.635048
1125.000000	-66.133972
1171.875000	-66.647301
1218.750000	-65.089073
1265.625000	-65.579849
1312.500000	-66.020943
1359.375000	-67.735390
1406.250000	-68.533424
1453.125000	-67.713692
1500.000000	-66.034126
1546.875000	-64.934898
1593.750000	-66.860748
1640.625000	-69.315910
1687.500000	-69.295517
1734.375000	-68.684090
1781.250000	-66.069893
1828.125000	-65.192398
1875.000000	-64.588547
1921.875000	-64.614861
1968.750000	-68.527405
2015.625000	-66.170410
2062.500000	-60.384789
2109.375000	-57.972870
2156.250000	-54.764156
2203.125000	-54.463928
2250.000000	-59.966282
2296.875000	-67.828598
2343.750000	-70.348473
2390.625000	-70.575684
2437.500000	-70.283691
2484.375000	-69.665344
2531.250000	-68.670090
2578.125000	-67.997231
2625.000000	-67.192574
2671.875000	-68.541565
2718.750000	-70.492889
2765.625000	-70.130585
2812.500000	-70.663383
2859.375000	-70.152962
2906.250000	-69.246643
2953.125000	-70.031914
3000.000000	-70.964508
3046.875000	-71.024689
3093.750000	-70.605240
3140.625000	-70.809189
3187.500000	-71.259354
3234.375000	-71.204857
3281.250000	-70.848007
3328.125000	-70.944809
3375.000000	-71.287666
3421.875000	-71.679733
3468.750000	-71.334412
3515.625000	-71.407776
3562.500000	-71.516930
3609.375000	-71.443741
3656.250000	-71.632416
3703.125000	-71.605721
3750.000000	-71.638145
3796.875000	-71.257240
3843.750000	-71.318016
3890.625000	-71.881767
3937.500000	-71.930443
3984.375000	-71.744293
4031.250000	-71.677345
4078.125000	-71.362617
4125.000000	-71.842468
4171.875000	-72.042473
4218.750000	-71.979912
4265.625000	-71.852303
4312.500000	-71.748100
4359.375000	-72.040405
4406.250000	-71.767372
